,Date,pH,COD (mg/L),BOD (mg/L),TSS,Oil & Grease (mg/L),Ammonical Nitrogen (mg/L)
114,2020-04-24,5.8,592,194,370,28.4,221.0
115,2020-04-25,5.8,592,194,370,28.4,221.0
116,2020-04-26,5.8,592,194,370,28.4,221.0
117,2020-04-27,5.8,592,194,370,28.4,221.0
118,2020-04-28,5.8,592,194,370,28.4,221.0
119,2020-04-29,5.8,592,194,370,28.4,221.0
120,2020-04-30,5.8,592,194,370,28.4,221.0
121,2020-05-01,8.2,420,138,269,24.8,42.2
122,2020-05-02,8.2,420,138,269,24.8,42.2
123,2020-05-03,8.2,420,138,269,24.8,42.2
124,2020-05-04,8.2,420,138,269,24.8,42.2
125,2020-05-05,8.2,420,138,269,24.8,42.2
126,2020-05-06,8.2,420,138,269,24.8,42.2
127,2020-05-07,8.2,420,138,269,24.8,42.2
128,2020-05-08,8.2,420,138,269,24.8,42.2
129,2020-05-09,8.2,420,138,269,24.8,42.2
130,2020-05-10,8.2,420,138,269,24.8,42.2
131,2020-05-11,8.2,420,138,269,24.8,42.2
132,2020-05-12,8.2,420,138,269,24.8,42.2
133,2020-05-13,8.2,420,138,269,24.8,42.2
134,2020-05-14,8.2,420,138,269,24.8,42.2
135,2020-05-15,8.2,420,138,269,24.8,42.2
136,2020-05-16,8.2,420,138,269,24.8,42.2
137,2020-05-17,8.2,420,138,269,24.8,42.2
138,2020-05-18,8.2,420,138,269,24.8,42.2
139,2020-05-19,8.2,420,138,269,24.8,42.2
140,2020-05-20,8.2,420,138,269,24.8,42.2
141,2020-05-21,8.2,420,138,269,24.8,42.2
142,2020-05-22,8.2,420,138,269,24.8,42.2
143,2020-05-23,8.2,420,138,269,24.8,42.2
144,2020-05-24,8.2,420,138,269,24.8,42.2
145,2020-05-25,8.2,420,138,269,24.8,42.2
146,2020-05-26,8.2,420,138,269,24.8,42.2
147,2020-05-27,8.2,420,138,269,24.8,42.2
148,2020-05-28,8.2,420,138,269,24.8,42.2
149,2020-05-29,8.2,420,138,269,24.8,42.2
150,2020-05-30,8.2,420,138,269,24.8,42.2
151,2020-05-31,8.2,420,138,269,24.8,42.2
152,2020-06-01,8.2,420,138,269,24.8,42.2
153,2020-06-02,8.2,420,138,269,24.8,42.2
154,2020-06-03,8.2,420,138,269,24.8,42.2
155,2020-06-04,8.2,420,138,269,24.8,42.2
156,2020-06-05,8.2,420,138,269,24.8,42.2
157,2020-06-06,8.2,420,138,269,24.8,42.2
158,2020-06-07,8.2,420,138,269,24.8,42.2
159,2020-06-08,8.2,420,138,269,24.8,42.2
160,2020-06-09,8.2,420,138,269,24.8,42.2
161,2020-06-10,8.2,420,138,269,24.8,42.2
162,2020-06-11,8.2,420,138,269,24.8,42.2
163,2020-06-12,8.2,420,138,269,24.8,42.2
164,2020-06-13,8.2,420,138,269,24.8,42.2
165,2020-06-14,8.2,420,138,269,24.8,42.2
166,2020-06-15,8.2,420,138,269,24.8,42.2
167,2020-06-16,8.2,420,138,269,24.8,42.2
168,2020-06-17,8.2,420,138,269,24.8,42.2
169,2020-06-18,8.2,420,138,269,24.8,42.2
170,2020-06-19,8.2,420,138,269,24.8,42.2
171,2020-06-20,8.2,420,138,269,24.8,42.2
172,2020-06-21,8.2,420,138,269,24.8,42.2
173,2020-06-22,8.2,420,138,269,24.8,42.2
174,2020-06-23,8.2,420,138,269,24.8,42.2
175,2020-06-24,8.2,420,138,269,24.8,42.2
176,2020-06-25,8.2,420,138,269,24.8,42.2
177,2020-06-26,8.2,420,138,269,24.8,42.2
178,2020-06-27,8.2,420,138,269,24.8,42.2
179,2020-06-28,8.2,420,138,269,24.8,42.2
180,2020-06-29,8.2,420,138,269,24.8,42.2
181,2020-06-30,8.2,420,138,269,24.8,42.2
182,2020-07-01,7.1,184,60,152,28.4,98.0
183,2020-07-02,7.1,184,60,152,28.4,98.0
184,2020-07-03,7.1,184,60,152,28.4,98.0
185,2020-07-04,7.1,184,60,152,28.4,98.0
186,2020-07-05,7.1,184,60,152,28.4,98.0
187,2020-07-06,7.1,184,60,152,28.4,98.0
188,2020-07-07,7.1,184,60,152,28.4,98.0
189,2020-07-08,7.1,184,60,152,28.4,98.0
190,2020-07-09,7.1,184,60,152,28.4,98.0
191,2020-07-10,7.1,184,60,152,28.4,98.0
192,2020-07-11,7.1,184,60,152,28.4,98.0
193,2020-07-12,7.1,184,60,152,28.4,98.0
194,2020-07-13,7.1,184,60,152,28.4,98.0
195,2020-07-14,7.1,184,60,152,28.4,98.0
196,2020-07-15,7.1,184,60,152,28.4,98.0
197,2020-07-16,7.1,184,60,152,28.4,98.0
198,2020-07-17,7.1,184,60,152,28.4,98.0
199,2020-07-18,7.1,184,60,152,28.4,98.0
200,2020-07-19,7.1,184,60,152,28.4,98.0
201,2020-07-20,7.1,184,60,152,28.4,98.0
202,2020-07-21,7.1,184,60,152,28.4,98.0
203,2020-07-22,7.1,184,60,152,28.4,98.0
204,2020-07-23,7.1,184,60,152,28.4,98.0
205,2020-07-24,7.1,184,60,152,28.4,98.0
206,2020-07-25,7.1,184,60,152,28.4,98.0
207,2020-07-26,7.1,184,60,152,28.4,98.0
208,2020-07-27,7.1,184,60,152,28.4,98.0
209,2020-07-28,7.1,184,60,152,28.4,98.0
210,2020-07-29,7.1,184,60,152,28.4,98.0
